tableName,associatedID
Schedule.csv,timeZoneID
Schedule.csv,leadUserID
Schedule.csv,opportunityJobPostingID
ScheduleRecipient.csv,scheduleRecipientID
ScheduleRecipient.csv,scheduleID
ScheduleRecipient.csv,userID
ScheduleRecipient.csv,migrateGUID
SchemaTracking.csv,ID
SectionFieldMapList.csv,sectionFieldMapID
SectionFieldMapList.csv,FieldMapID
SectionFieldMapList.csv,sectionID
SectionFieldMapList.csv,modifyingMasterUserID
Sendout.csv,sendoutID
Sendout.csv,userID
Sendout.csv,clientUserID
Sendout.csv,candidateUserID
Sendout.csv,clientCorporationID
Sendout.csv,jobPostingID
Sendout.csv,migrateGUID
Sendout.csv,userMessageID
ShortList.csv,shortListID
ShortList.csv,userID
ShortList.csv,parentShortListID
ShortList.csv,migrateGUID
ShortListEntity.csv,shortListID
ShortListEntity.csv,entityID
ShortListGrouping.csv,shortListGroupingID
ShortListGrouping.csv,shortListID
ShortListGrouping.csv,userID
ShortListGrouping.csv,migrateGUID
SkillList.csv,skillID
SkillList.csv,categoryID
SkillList.csv,externalID
StopWord.csv,stopWordID
Tag.csv,tagID
Tag.csv,corporationID
TaskEditHistory.csv,taskEditHistoryID
TaskEditHistory.csv,taskID
TaskEditHistory.csv,updatingUserID
TaskEditHistory.csv,migrateGUID
TaskEditHistory.csv,transactionID
TaskEditHistoryFieldChange.csv,taskEditHistoryFieldChangeID
TaskEditHistoryFieldChange.csv,taskEditHistoryID
UpdatedPasswordData.csv,updatedPasswordDataID
UpdatedPasswordData.csv,corporationID
UpdatedPasswordData.csv,masterUserID
UpdatedPasswordData.csv,corporateUserHistoryID
User.csv,userID
User.csv,masterUserID
User.csv,userTypeID
User.csv,privateLabelID
User.csv,applicationID
User.csv,externalID
User.csv,userUUID
User.csv,migrateGUID
UserCategory.csv,categoryID
UserCategory.csv,userID
UserComment.csv,userCommentID
UserComment.csv,userID
UserComment.csv,commentingUserID
UserComment.csv,userRequestID
UserComment.csv,jobPostingID
UserComment.csv,userCommentUUID
UserComment.csv,migrateGUID
UserComment.csv,externalID
UserCommentEntity.csv,userCommentEntityID
UserCommentEntity.csv,userCommentID
UserCommentEntity.csv,entityID
UserContact.csv,userID
UserContact.csv,countryID
UserContact.csv,corporationID
UserContact.csv,categoryID
UserContact.csv,taxID
UserContact.csv,secondaryCountryID
UserContact.csv,referredByUserID
UserContact.csv,ownerCorporationID
UserContact.csv,clientCorporationID
UserContact.csv,ownerUserIDList
UserContact.csv,skillIDList
UserContact.csv,categoryIDList
UserContact.csv,specialtyIDList
UserContact.csv,businessSectorIDList
UserContact.csv,migrateGUID
UserContact.csv,reportToUserID
UserContact.csv,linkedUserID
UserContact.csv,branchID
UserCustomObject.csv,userCustomObjectID
UserCustomObject.csv,reportID
UserCustomObject.csv,corporationID
UserCustomObjectAttribute.csv,userCustomObjectAttributeID
UserCustomObjectAttribute.csv,userCustomObjectID
UserCustomObjectDepartment.csv,userCustomObjectDepartmentID
UserCustomObjectDepartment.csv,userCustomObjectID
UserCustomObjectDepartment.csv,departmentID
UserCustomObjectEditHistory.csv,userCustomObjectEditHistoryID
UserCustomObjectEditHistory.csv,instanceID
